RollNo,Name,Email,SubjectID,Marks
0001,Delia Lueilwitz,Delia64@gmail.com,1,28
0001,Delia Lueilwitz,Delia64@gmail.com,2,88
0001,Delia Lueilwitz,Delia64@gmail.com,3,22
0001,Delia Lueilwitz,Delia64@gmail.com,4,35
0001,Delia Lueilwitz,Delia64@gmail.com,5,96
0002,Clark McDermott,Clark22@gmail.com,1,80
0002,Clark McDermott,Clark22@gmail.com,2,93
0002,Clark McDermott,Clark22@gmail.com,3,47
0002,Clark McDermott,Clark22@gmail.com,4,76
0002,Clark McDermott,Clark22@gmail.com,5,29
0003,Angelina Rippin,Angelina15@hotmail.com,1,32
0003,Angelina Rippin,Angelina15@hotmail.com,2,21
0003,Angelina Rippin,Angelina15@hotmail.com,3,21
0003,Angelina Rippin,Angelina15@hotmail.com,4,26
0003,Angelina Rippin,Angelina15@hotmail.com,5,44
0004,Paula Huels,Paula93@hotmail.com,1,63
0004,Paula Huels,Paula93@hotmail.com,2,90
0004,Paula Huels,Paula93@hotmail.com,3,73
0004,Paula Huels,Paula93@hotmail.com,4,97
0004,Paula Huels,Paula93@hotmail.com,5,79
0005,Kara Mayer,Kara_Mayer70@hotmail.com,1,20
0005,Kara Mayer,Kara_Mayer70@hotmail.com,2,81
0005,Kara Mayer,Kara_Mayer70@hotmail.com,3,64
0005,Kara Mayer,Kara_Mayer70@hotmail.com,4,98
0005,Kara Mayer,Kara_Mayer70@hotmail.com,5,78
0006,Brendan Beier,Brendan.Beier@hotmail.com,1,85
0006,Brendan Beier,Brendan.Beier@hotmail.com,2,85
0006,Brendan Beier,Brendan.Beier@hotmail.com,3,48
0006,Brendan Beier,Brendan.Beier@hotmail.com,4,21
0006,Brendan Beier,Brendan.Beier@hotmail.com,5,86
0007,Darryl Okuneva,Darryl.Okuneva49@hotmail.com,1,80
0007,Darryl Okuneva,Darryl.Okuneva49@hotmail.com,2,62
0007,Darryl Okuneva,Darryl.Okuneva49@hotmail.com,3,36
0007,Darryl Okuneva,Darryl.Okuneva49@hotmail.com,4,24
0007,Darryl Okuneva,Darryl.Okuneva49@hotmail.com,5,45
0008,Cindy Kessler,Cindy_Kessler@yahoo.com,1,41
0008,Cindy Kessler,Cindy_Kessler@yahoo.com,2,100
0008,Cindy Kessler,Cindy_Kessler@yahoo.com,3,68
0008,Cindy Kessler,Cindy_Kessler@yahoo.com,4,60
0008,Cindy Kessler,Cindy_Kessler@yahoo.com,5,65
0009,Leticia Moore,Leticia24@yahoo.com,1,94
0009,Leticia Moore,Leticia24@yahoo.com,2,61
0009,Leticia Moore,Leticia24@yahoo.com,3,62
0009,Leticia Moore,Leticia24@yahoo.com,4,29
0009,Leticia Moore,Leticia24@yahoo.com,5,79
0010,Sharon Reichel,Sharon21@yahoo.com,1,57
0010,Sharon Reichel,Sharon21@yahoo.com,2,48
0010,Sharon Reichel,Sharon21@yahoo.com,3,25
0010,Sharon Reichel,Sharon21@yahoo.com,4,34
0010,Sharon Reichel,Sharon21@yahoo.com,5,52
0011,Sergio Cummerata,Sergio32@gmail.com,1,26
0011,Sergio Cummerata,Sergio32@gmail.com,2,82
0011,Sergio Cummerata,Sergio32@gmail.com,3,34
0011,Sergio Cummerata,Sergio32@gmail.com,4,36
0011,Sergio Cummerata,Sergio32@gmail.com,5,67
0012,Eric Parker,Eric_Parker@hotmail.com,1,43
0012,Eric Parker,Eric_Parker@hotmail.com,2,74
0012,Eric Parker,Eric_Parker@hotmail.com,3,24
0012,Eric Parker,Eric_Parker@hotmail.com,4,24
0012,Eric Parker,Eric_Parker@hotmail.com,5,50
0013,Van Rolfson,Van_Rolfson30@gmail.com,1,33
0013,Van Rolfson,Van_Rolfson30@gmail.com,2,24
0013,Van Rolfson,Van_Rolfson30@gmail.com,3,73
0013,Van Rolfson,Van_Rolfson30@gmail.com,4,28
0013,Van Rolfson,Van_Rolfson30@gmail.com,5,86
0014,Darla Huels,Darla.Huels16@gmail.com,1,73
0014,Darla Huels,Darla.Huels16@gmail.com,2,57
0014,Darla Huels,Darla.Huels16@gmail.com,3,69
0014,Darla Huels,Darla.Huels16@gmail.com,4,88
0014,Darla Huels,Darla.Huels16@gmail.com,5,63
0015,Eric Hammes,Eric.Hammes@gmail.com,1,96
0015,Eric Hammes,Eric.Hammes@gmail.com,2,66
0015,Eric Hammes,Eric.Hammes@gmail.com,3,25
0015,Eric Hammes,Eric.Hammes@gmail.com,4,59
0015,Eric Hammes,Eric.Hammes@gmail.com,5,68
0016,Gayle Watsica,Gayle.Watsica@hotmail.com,1,79
0016,Gayle Watsica,Gayle.Watsica@hotmail.com,2,35
0016,Gayle Watsica,Gayle.Watsica@hotmail.com,3,91
0016,Gayle Watsica,Gayle.Watsica@hotmail.com,4,37
0016,Gayle Watsica,Gayle.Watsica@hotmail.com,5,33
0017,Horace Dickinson,Horace_Dickinson@yahoo.com,1,40
0017,Horace Dickinson,Horace_Dickinson@yahoo.com,2,100
0017,Horace Dickinson,Horace_Dickinson@yahoo.com,3,52
0017,Horace Dickinson,Horace_Dickinson@yahoo.com,4,58
0017,Horace Dickinson,Horace_Dickinson@yahoo.com,5,33
0018,Dave Donnelly,Dave_Donnelly33@hotmail.com,1,73
0018,Dave Donnelly,Dave_Donnelly33@hotmail.com,2,25
0018,Dave Donnelly,Dave_Donnelly33@hotmail.com,3,42
0018,Dave Donnelly,Dave_Donnelly33@hotmail.com,4,35
0018,Dave Donnelly,Dave_Donnelly33@hotmail.com,5,63
0019,Chelsea Runolfsson,Chelsea_Runolfsson@yahoo.com,1,71
0019,Chelsea Runolfsson,Chelsea_Runolfsson@yahoo.com,2,84
0019,Chelsea Runolfsson,Chelsea_Runolfsson@yahoo.com,3,44
0019,Chelsea Runolfsson,Chelsea_Runolfsson@yahoo.com,4,89
0019,Chelsea Runolfsson,Chelsea_Runolfsson@yahoo.com,5,47
0020,Harriet Casper,Harriet.Casper41@gmail.com,1,85
0020,Harriet Casper,Harriet.Casper41@gmail.com,2,49
0020,Harriet Casper,Harriet.Casper41@gmail.com,3,31
0020,Harriet Casper,Harriet.Casper41@gmail.com,4,36
0020,Harriet Casper,Harriet.Casper41@gmail.com,5,61
0021,Rickey Batz,Rickey.Batz2@hotmail.com,1,34
0021,Rickey Batz,Rickey.Batz2@hotmail.com,2,98
0021,Rickey Batz,Rickey.Batz2@hotmail.com,3,66
0021,Rickey Batz,Rickey.Batz2@hotmail.com,4,25
0021,Rickey Batz,Rickey.Batz2@hotmail.com,5,80
0022,Audrey Schneider,Audrey_Schneider@yahoo.com,1,75
0022,Audrey Schneider,Audrey_Schneider@yahoo.com,2,77
0022,Audrey Schneider,Audrey_Schneider@yahoo.com,3,35
0022,Audrey Schneider,Audrey_Schneider@yahoo.com,4,51
0022,Audrey Schneider,Audrey_Schneider@yahoo.com,5,97
0023,Esther Durgan,Esther56@hotmail.com,1,55
0023,Esther Durgan,Esther56@hotmail.com,2,55
0023,Esther Durgan,Esther56@hotmail.com,3,53
0023,Esther Durgan,Esther56@hotmail.com,4,87
0023,Esther Durgan,Esther56@hotmail.com,5,93
0024,Laurence Wiza,Laurence80@hotmail.com,1,87
0024,Laurence Wiza,Laurence80@hotmail.com,2,46
0024,Laurence Wiza,Laurence80@hotmail.com,3,89
0024,Laurence Wiza,Laurence80@hotmail.com,4,71
0024,Laurence Wiza,Laurence80@hotmail.com,5,92
0025,Jordan Gusikowski,Jordan.Gusikowski42@hotmail.com,1,51
0025,Jordan Gusikowski,Jordan.Gusikowski42@hotmail.com,2,73
0025,Jordan Gusikowski,Jordan.Gusikowski42@hotmail.com,3,88
0025,Jordan Gusikowski,Jordan.Gusikowski42@hotmail.com,4,68
0025,Jordan Gusikowski,Jordan.Gusikowski42@hotmail.com,5,43
0026,Carlos Kling,Carlos_Kling93@hotmail.com,1,64
0026,Carlos Kling,Carlos_Kling93@hotmail.com,2,71
0026,Carlos Kling,Carlos_Kling93@hotmail.com,3,44
0026,Carlos Kling,Carlos_Kling93@hotmail.com,4,70
0026,Carlos Kling,Carlos_Kling93@hotmail.com,5,87
0027,Sonia Walker,Sonia.Walker@yahoo.com,1,92
0027,Sonia Walker,Sonia.Walker@yahoo.com,2,100
0027,Sonia Walker,Sonia.Walker@yahoo.com,3,36
0027,Sonia Walker,Sonia.Walker@yahoo.com,4,66
0027,Sonia Walker,Sonia.Walker@yahoo.com,5,73
0028,Pat Feil,Pat.Feil@gmail.com,1,56
0028,Pat Feil,Pat.Feil@gmail.com,2,88
0028,Pat Feil,Pat.Feil@gmail.com,3,21
0028,Pat Feil,Pat.Feil@gmail.com,4,79
0028,Pat Feil,Pat.Feil@gmail.com,5,65
0029,Marcos Carter,Marcos.Carter73@yahoo.com,1,56
0029,Marcos Carter,Marcos.Carter73@yahoo.com,2,76
0029,Marcos Carter,Marcos.Carter73@yahoo.com,3,64
0029,Marcos Carter,Marcos.Carter73@yahoo.com,4,32
0029,Marcos Carter,Marcos.Carter73@yahoo.com,5,60
0030,Earl Hayes,Earl.Hayes@hotmail.com,1,60
0030,Earl Hayes,Earl.Hayes@hotmail.com,2,57
0030,Earl Hayes,Earl.Hayes@hotmail.com,3,73
0030,Earl Hayes,Earl.Hayes@hotmail.com,4,62
0030,Earl Hayes,Earl.Hayes@hotmail.com,5,45
0031,Bertha Osinski,Bertha_Osinski@gmail.com,1,27
0031,Bertha Osinski,Bertha_Osinski@gmail.com,2,87
0031,Bertha Osinski,Bertha_Osinski@gmail.com,3,91
0031,Bertha Osinski,Bertha_Osinski@gmail.com,4,25
0031,Bertha Osinski,Bertha_Osinski@gmail.com,5,86
0032,Olivia Spinka,Olivia.Spinka72@hotmail.com,1,21
0032,Olivia Spinka,Olivia.Spinka72@hotmail.com,2,95
0032,Olivia Spinka,Olivia.Spinka72@hotmail.com,3,43
0032,Olivia Spinka,Olivia.Spinka72@hotmail.com,4,95
0032,Olivia Spinka,Olivia.Spinka72@hotmail.com,5,30
0033,Julia Wunsch,Julia72@hotmail.com,1,49
0033,Julia Wunsch,Julia72@hotmail.com,2,87
0033,Julia Wunsch,Julia72@hotmail.com,3,56
0033,Julia Wunsch,Julia72@hotmail.com,4,62
0033,Julia Wunsch,Julia72@hotmail.com,5,50
0034,Merle Harvey-Conroy,Merle_Harvey-Conroy47@hotmail.com,1,75
0034,Merle Harvey-Conroy,Merle_Harvey-Conroy47@hotmail.com,2,89
0034,Merle Harvey-Conroy,Merle_Harvey-Conroy47@hotmail.com,3,29
0034,Merle Harvey-Conroy,Merle_Harvey-Conroy47@hotmail.com,4,71
0034,Merle Harvey-Conroy,Merle_Harvey-Conroy47@hotmail.com,5,82
0035,Julie Friesen,Julie67@gmail.com,1,32
0035,Julie Friesen,Julie67@gmail.com,2,52
0035,Julie Friesen,Julie67@gmail.com,3,22
0035,Julie Friesen,Julie67@gmail.com,4,28
0035,Julie Friesen,Julie67@gmail.com,5,97
0036,George Corkery,George50@yahoo.com,1,36
0036,George Corkery,George50@yahoo.com,2,99
0036,George Corkery,George50@yahoo.com,3,76
0036,George Corkery,George50@yahoo.com,4,89
0036,George Corkery,George50@yahoo.com,5,28
0037,Marsha Ebert,Marsha78@yahoo.com,1,96
